"Descrição","Valor","Encargos","Lançamento","Vencimento","Efetivação","Recorrência","Parcela","Parcelas","Categoria","Subcategoria","Cartão","Conta","Observações"
"Suporte celular Carro","24.90","0.00","24/03/2026 13:34","12/04/2026","06/04/2026","Nenhuma","0","0","Tecnologia","Periféricos","Mercado Pagos","Nubank",""
"Uber","7.40","0.00","10/04/2026 22:26","12/04/2026","12/04/2026","Nenhuma","0","0","Transporte","Uber","-","Nubank",""
"Uber","9.30","0.00","10/04/2026 22:26","12/04/2026","12/04/2026","Nenhuma","0","0","Transporte","Uber","-","Nubank",""
"S24 Ultra  1/18","233.83","0.00","23/03/2026 13:32","12/04/2026","06/04/2026","Parcelada (mensal)","1","18","Tecnologia","Celular","Mercado Pagos","Nubank",""
"Tenis Isa Adidas  5/8","21.24","0.00","05/12/2025 18:25","12/04/2026","06/04/2026","Parcelada (mensal)","5","8","Vestuário","Tênis","Mercado Pagos","Nubank",""
"Tênis Nike  5/8","33.74","0.00","05/12/2025 18:26","12/04/2026","06/04/2026","Parcelada (mensal)","5","8","Vestuário","Tênis","Mercado Pagos","Nubank",""
"Cinema","30.00","0.00","27/03/2026 20:29","11/04/2026","06/04/2026","Nenhuma","0","0","Lazer","Cinema","NuBank","Nubank",""
"Combustível","67.89","0.00","06/03/2026 13:36","11/04/2026","06/04/2026","Nenhuma","0","0","Carro","Combustível","NuBank","Nubank",""
"Empréstimo Santander Fevereiro  2/3","258.82","0.00","07/02/2026 19:42","11/04/2026","06/04/2026","Parcelada (mensal)","2","3","Outros","Outros","NuBank","Nubank",""
"Entrada Santanas Ranch  3/3","275.56","0.00","12/01/2026 21:53","11/04/2026","06/04/2026","Parcelada (mensal)","3","3","Viagem","Hospedagem","NuBank","Nubank",""
"Gasolina","250.88","0.00","18/03/2026 13:05","11/04/2026","06/04/2026","Nenhuma","0","0","Carro","Combustível","NuBank","Nubank",""
"Gympass","69.99","0.00","07/08/2025 13:43","11/04/2026","06/04/2026","Fixa mensal","0","0","Saúde","Academia","NuBank","Nubank",""
"Lanche Garagem","72.27","0.00","29/03/2026 23:13","11/04/2026","06/04/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Maravilhas do lar","117.91","0.00","17/03/2026 22:38","11/04/2026","06/04/2026","Nenhuma","0","0","Moradia","Equipamentos","NuBank","Nubank",""
"Mercadinho","26.71","0.00","30/03/2026 18:07","11/04/2026","06/04/2026","Nenhuma","0","0","Mercado","Outros","NuBank","Nubank",""
"Pastel","51.40","0.00","07/03/2026 23:54","11/04/2026","06/04/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Pizzaria Brasil","72.00","0.00","20/03/2026 21:01","11/04/2026","06/04/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Presente Mãe  1/2","65.00","0.00","14/03/2026 23:57","11/04/2026","06/04/2026","Parcelada (mensal)","1","2","Presente","Diversos","NuBank","Nubank",""
"Pão manhã","2.75","0.00","14/03/2026 23:56","11/04/2026","06/04/2026","Nenhuma","0","0","Alimentação","Café Da Manhã","NuBank","Nubank",""
"Uber","20.95","0.00","31/03/2026 23:21","11/04/2026","06/04/2026","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Vic e vitamina cabelo","50.85","0.00","14/03/2026 23:53","11/04/2026","06/04/2026","Nenhuma","0","0","Saúde","Remédios","NuBank","Nubank",""
"App Finanças","13.90","0.00","02/09/2025 22:12","10/04/2026","06/04/2026","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Condomínio","328.66","0.00","10/06/2024 20:42","10/04/2026","06/04/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Di madre","131.78","0.00","03/03/2026 21:51","10/04/2026","06/04/2026","Nenhuma","0","0","Alimentação","Jantar","Santander","Nubank",""
"Financiamento AP","715.00","0.00","10/02/2025 23:53","10/04/2026","06/04/2026","Fixa mensal","0","0","Moradia","Financiamento","-","Nubank",""
"Luz","153.31","0.00","10/06/2024 20:44","10/04/2026","06/04/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Não sei","16.00","0.00","29/03/2026 13:43","10/04/2026","06/04/2026","Nenhuma","0","0","Others","Outros","Santander","Nubank",""
"Remédio Isa  1/3","60.05","0.00","02/03/2026 20:00","10/04/2026","06/04/2026","Parcelada (mensal)","1","3","Saúde","Remédios","Santander","Nubank",""
"YouTube Premmium","26.90","0.00","20/06/2025 23:45","10/04/2026","06/04/2026","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Carnes São Vicente","251.85","0.00","18/04/2026 08:02","08/04/2026","08/04/2026","Nenhuma","0","0","Mercado","Outros","-","Pluxee",""
"Cartão Isa","161.18","0.00","07/11/2024 23:24","08/04/2026","06/04/2026","Fixa mensal","0","0","Cartão Isa","Outros","-","Nubank",""
"Doce isa","12.00","0.00","06/04/2026 21:39","06/04/2026","06/04/2026","Nenhuma","0","0","Alimentação","Sobremesa","-","Nubank",""
"Ovo pascoa","73.49","0.00","04/04/2026 20:48","04/04/2026","04/04/2026","Nenhuma","0","0","Alimentação","Sobremesa","-","Nubank",""
"Crema","445.14","0.00","02/04/2026 23:25","02/04/2026","02/04/2026","Nenhuma","0","0","Mercado","Outros","-","Pluxee",""
"Higa","607.23","0.00","02/04/2026 23:24","02/04/2026","02/04/2026","Nenhuma","0","0","Mercado","Outros","-","Pluxee",""
"Cyberpunk 2077","19.90","0.00","31/03/2026 23:23","31/03/2026","31/03/2026","Nenhuma","0","0","Lazer","Videogame","-","Nubank",""
"Uber","23.00","0.00","31/03/2026 23:22","31/03/2026","31/03/2026","Nenhuma","0","0","Transporte","Uber","-","Nubank",""
"Almoço","36.00","0.00","27/03/2026 18:22","27/03/2026","27/03/2026","Nenhuma","0","0","Alimentação","Almoço","-","Pluxee",""
"Taxa Caixa","4.01","0.00","26/03/2026 15:55","26/03/2026","26/03/2026","Nenhuma","0","0","Imposto","Outros","-","Nubank",""
"Coisas Futura","21.00","0.00","25/03/2026 14:24","25/03/2026","25/03/2026","Fixa mensal","0","0","Alimentação","Sobremesa","-","Nubank",""
"Financiamento Fiesta  6/48","931.48","0.00","18/11/2025 20:19","25/03/2026","25/03/2026","Parcelada (mensal)","6","48","Carro","Financiamento","-","Nubank",""
"Unha Isa","40.00","0.00","25/03/2026 17:55","25/03/2026","25/03/2026","Nenhuma","0","0","Beleza","Unha","-","Nubank",""
"Crema","32.55","0.00","23/03/2026 17:35","23/03/2026","23/03/2026","Nenhuma","0","0","Mercado","Outros","-","Pluxee",""
"Empréstimo Janeiro  2/4","229.03","0.00","08/01/2026 07:00","23/03/2026","20/03/2026","Parcelada (mensal)","2","4","Outros","Outros","-","Nubank",""
"Crema","56.75","0.00","27/03/2026 18:22","22/03/2026","22/03/2026","Nenhuma","0","0","Mercado","Outros","-","Pluxee",""
"Internet","119.99","0.00","25/11/2024 18:18","21/03/2026","20/03/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"IPTU","55.61","0.00","10/06/2024 20:46","20/03/2026","17/03/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Crema","58.40","0.00","16/03/2026 22:12","16/03/2026","16/03/2026","Nenhuma","0","0","Mercado","Outros","-","Pluxee",""
"Tim","52.22","0.00","16/08/2024 18:24","16/03/2026","19/03/2026","Fixa mensal","0","0","Serviços","Internet","-","Nubank",""
"Camisetas Hall","40.00","0.00","13/03/2026 20:26","13/03/2026","13/03/2026","Nenhuma","0","0","Vestuário","Blusas","-","Nubank",""
"Lanche Gordinho","47.78","0.00","13/03/2026 20:27","13/03/2026","13/03/2026","Nenhuma","0","0","Alimentação","Jantar","-","Nubank",""
"Seguro  6/12","274.48","0.00","18/09/2025 20:06","13/03/2026","09/03/2026","Parcelada (mensal)","6","12","Carro","Seguro","NuBank","Nubank",""
"Despesa de ajuste","1.00","0.00","10/03/2026 00:07","12/03/2026","09/03/2026","Nenhuma","0","0","Cartões de crédito","Ajustes","Mercado Pagos","Nubank",""
"Nível 6 ML","8.90","0.00","04/09/2023 21:46","12/03/2026","09/03/2026","Fixa mensal","0","0","Serviços","Assinaturas","Mercado Pagos","Nubank",""
"Tenis Isa Adidas  4/8","21.24","0.00","05/12/2025 18:25","12/03/2026","09/03/2026","Parcelada (mensal)","4","8","Vestuário","Tênis","Mercado Pagos","Nubank",""
"Tênis Nike  4/8","33.74","0.00","05/12/2025 18:26","12/03/2026","09/03/2026","Parcelada (mensal)","4","8","Vestuário","Tênis","Mercado Pagos","Nubank",""
"Almoço","25.50","0.00","03/03/2026 06:59","11/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Almoço","NuBank","Nubank",""
"Almoço","40.00","0.00","14/02/2026 14:00","11/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Almoço","NuBank","Nubank",""
"Almoço despedida","48.90","0.00","27/02/2026 19:38","11/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Almoço","NuBank","Nubank",""
"Asa Isa","132.41","0.00","10/02/2026 07:37","11/03/2026","09/03/2026","Nenhuma","0","0","Eventos","Roupas","NuBank","Nubank",""
"Bk","52.98","0.00","12/02/2026 23:43","11/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Bolo de pote","15.00","0.00","08/02/2026 11:05","11/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Sobremesa","NuBank","Nubank",""
"Cabelo","45.00","0.00","27/02/2026 19:38","11/03/2026","09/03/2026","Nenhuma","0","0","Beleza","Cabelo","NuBank","Nubank",""
"Café da manhã","43.60","0.00","21/02/2026 19:38","11/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Café Da Manhã","NuBank","Nubank",""
"Empréstimo Santander Fevereiro  1/3","258.82","0.00","07/02/2026 19:42","11/03/2026","09/03/2026","Parcelada (mensal)","1","3","Outros","Outros","NuBank","Nubank",""
"Entrada Santanas Ranch  2/3","275.56","0.00","12/01/2026 21:53","11/03/2026","09/03/2026","Parcelada (mensal)","2","3","Viagem","Hospedagem","NuBank","Nubank",""
"Estacionamento iguatemi","25.00","0.00","14/02/2026 23:12","11/03/2026","09/03/2026","Nenhuma","0","0","Carro","Estacionamento","NuBank","Nubank",""
"Fogo nobre","171.16","0.00","18/02/2026 21:30","11/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Gasolina","278.11","0.00","19/02/2026 17:58","11/03/2026","09/03/2026","Nenhuma","0","0","Carro","Combustível","NuBank","Nubank",""
"Geo Cosméticos","130.25","0.00","15/02/2026 14:12","11/03/2026","09/03/2026","Nenhuma","0","0","Beleza","Produtos","NuBank","Nubank",""
"Gympass","59.90","0.00","07/08/2025 13:43","11/03/2026","09/03/2026","Fixa mensal","0","0","Saúde","Academia","NuBank","Nubank",""
"Madero","160.60","0.00","14/02/2026 23:10","11/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Mc","35.90","0.00","12/02/2026 23:43","11/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Mc","46.90","0.00","21/02/2026 22:53","11/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Mc com Gabriel","34.00","0.00","24/02/2026 19:38","11/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Mercado","43.74","0.00","09/02/2026 14:02","11/03/2026","09/03/2026","Nenhuma","0","0","Mercado","Outros","NuBank","Nubank",""
"Mercado","38.35","0.00","17/02/2026 14:12","11/03/2026","09/03/2026","Nenhuma","0","0","Mercado","Outros","NuBank","Nubank",""
"Não sei","12.00","0.00","15/02/2026 14:10","11/03/2026","09/03/2026","Nenhuma","0","0","Others","Outros","NuBank","Nubank",""
"Oficina da Pizza","43.00","0.00","27/02/2026 19:38","11/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Pedágio","16.06","0.00","05/02/2026 13:57","11/03/2026","09/03/2026","Nenhuma","0","0","Carro","Outros","NuBank","Nubank",""
"Pedágio Iguatemi ida","12.10","0.00","14/02/2026 23:11","11/03/2026","09/03/2026","Nenhuma","0","0","Carro","Outros","NuBank","Nubank",""
"Pedágio Iguatemi volta","12.10","0.00","14/02/2026 23:12","11/03/2026","09/03/2026","Nenhuma","0","0","Carro","Outros","NuBank","Nubank",""
"Pizzaria Brasil","32.00","0.00","09/02/2026 14:05","11/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Presente Késia","59.90","0.00","15/02/2026 14:07","11/03/2026","09/03/2026","Nenhuma","0","0","Presente","Diversos","NuBank","Nubank",""
"Protetor solar + Pós Sol  3/3","56.32","0.00","25/12/2025 16:37","11/03/2026","09/03/2026","Parcelada (mensal)","3","3","Saúde","Outros","NuBank","Nubank",""
"Pão","5.43","0.00","28/02/2026 17:57","11/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Café Da Manhã","NuBank","Nubank",""
"Pão","2.71","0.00","15/02/2026 14:09","11/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Café Da Manhã","NuBank","Nubank",""
"Pão","9.50","0.00","24/02/2026 19:38","11/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Café Da Manhã","NuBank","Nubank",""
"Pão manhã","2.71","0.00","21/02/2026 19:38","11/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Café Da Manhã","NuBank","Nubank",""
"Remédio dor","44.44","0.00","21/02/2026 00:44","11/03/2026","09/03/2026","Nenhuma","0","0","Saúde","Remédios","NuBank","Nubank",""
"Sombrancelha Isa","80.00","0.00","10/02/2026 14:06","11/03/2026","09/03/2026","Nenhuma","0","0","Beleza","Unha","NuBank","Nubank",""
"Sorvete","37.73","0.00","28/02/2026 17:57","11/03/2026","09/03/2026","Nenhuma","0","0","Eventos","Roupas","NuBank","Nubank",""
"Sorvete MC","30.00","0.00","27/02/2026 19:38","11/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Sobremesa","NuBank","Nubank",""
"Uber","19.95","0.00","27/02/2026 19:38","11/03/2026","09/03/2026","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Uber","12.95","0.00","03/03/2026 06:58","11/03/2026","09/03/2026","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Unha Isa","41.47","0.00","24/02/2026 17:55","11/03/2026","09/03/2026","Nenhuma","0","0","Beleza","Unha","NuBank","Nubank",""
"Anuidade","50.00","0.00","02/03/2026 19:51","10/03/2026","09/03/2026","Nenhuma","0","0","Imposto","Outros","Santander","Nubank",""
"App Finanças","13.90","0.00","02/09/2025 22:12","10/03/2026","09/03/2026","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Brait","12.58","0.00","03/02/2026 12:31","10/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Café Da Tarde","Santander","Nubank",""
"Brinco Isa","34.00","0.00","14/02/2026 14:01","10/03/2026","09/03/2026","Nenhuma","0","0","Vestuário","Outros","Santander","Nubank",""
"Cabelo Isa  2/2","75.00","0.00","10/01/2026 17:34","10/03/2026","09/03/2026","Parcelada (mensal)","2","2","Beleza","Cabelo","Santander","Nubank",""
"Condomínio","330.15","0.00","10/06/2024 20:42","10/03/2026","09/03/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Financiamento AP","710.00","0.00","10/02/2025 23:53","10/03/2026","09/03/2026","Fixa mensal","0","0","Moradia","Financiamento","-","Nubank",""
"Gasolina","41.28","0.00","04/02/2026 19:30","10/03/2026","09/03/2026","Nenhuma","0","0","Carro","Combustível","Santander","Nubank",""
"Isa","10.00","0.00","01/02/2026 19:47","10/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Café Da Tarde","Santander","Nubank",""
"Kimba","47.00","0.00","13/02/2026 19:48","10/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Jantar","Santander","Nubank",""
"Luz","177.51","0.00","10/06/2024 20:44","10/03/2026","09/03/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Não sei","48.18","0.00","01/02/2026 19:54","10/03/2026","09/03/2026","Nenhuma","0","0","Others","Outros","Santander","Nubank",""
"Ovos Crema","29.98","0.00","02/02/2026 22:14","10/03/2026","09/03/2026","Nenhuma","0","0","Mercado","Outros","Santander","Nubank",""
"Pincéis Isa","44.40","0.00","20/02/2026 19:50","10/03/2026","09/03/2026","Nenhuma","0","0","Beleza","Produtos","Santander","Nubank",""
"Presente lê","56.18","0.00","03/02/2026 12:31","10/03/2026","09/03/2026","Nenhuma","0","0","Presente","Diversos","Santander","Nubank",""
"Presente vó","90.00","0.00","28/02/2026 13:08","10/03/2026","09/03/2026","Nenhuma","0","0","Presente","Diversos","Santander","Nubank",""
"Remedio Isa  3/3","46.26","0.00","01/12/2025 20:19","10/03/2026","09/03/2026","Parcelada (mensal)","3","3","Saúde","Remédios","Santander","Nubank",""
"Remedio Isa  2/2","66.39","0.00","05/01/2026 13:47","10/03/2026","09/03/2026","Parcelada (mensal)","2","2","Saúde","Remédios","Santander","Nubank",""
"Sobrancelha Isa","60.00","0.00","14/02/2026 17:15","10/03/2026","09/03/2026","Nenhuma","0","0","Beleza","Outros","Santander","Nubank",""
"Unha Isa","70.00","0.00","10/03/2026 18:00","10/03/2026","10/03/2026","Nenhuma","0","0","Beleza","Unha","-","Nubank",""
"YouTube Premmium","26.90","0.00","20/06/2025 23:45","10/03/2026","09/03/2026","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Cities Skylines","11.59","0.00","09/03/2026 19:34","09/03/2026","09/03/2026","Nenhuma","0","0","Lazer","Videogame","-","Nubank",""
"Doação Teatro","300.00","0.00","07/03/2026 20:01","09/03/2026","07/03/2026","Nenhuma","0","0","Igreja","Oferta","-","Nubank",""
"Doce isa","20.00","0.00","09/03/2026 07:03","09/03/2026","09/03/2026","Nenhuma","0","0","Alimentação","Sobremesa","-","Nubank",""
"Estacionamento","3.00","0.00","26/02/2026 20:00","09/03/2026","09/03/2026","Nenhuma","0","0","Carro","Estacionamento","-","Nubank",""
"Fone Haylou S40","207.00","0.00","08/03/2026 20:01","09/03/2026","07/03/2026","Nenhuma","0","0","Tecnologia","Áudio","-","Nubank",""
"Mercado Crema","50.50","0.00","09/03/2026 07:06","09/03/2026","09/03/2026","Nenhuma","0","0","Mercado","Outros","-","Pluxee",""
"Cartão Isa","177.47","0.00","07/11/2024 23:24","08/03/2026","09/03/2026","Fixa mensal","0","0","Cartão Isa","Outros","-","Nubank",""
"Crema carne","402.40","0.00","03/03/2026 07:00","03/03/2026","03/03/2026","Nenhuma","0","0","Mercado","Outros","-","Pluxee",""
"Higa pt. 1","690.94","0.00","02/03/2026 19:25","02/03/2026","02/03/2026","Nenhuma","0","0","Mercado","Outros","-","Pluxee",""
"Higa pt. 2","51.49","0.00","02/03/2026 19:26","02/03/2026","02/03/2026","Nenhuma","0","0","Mercado","Outros","-","Pluxee",""
"Combustível","180.00","0.00","05/05/2025 23:12","01/03/2026","06/03/2026","Fixa mensal","0","0","Carro","Combustível","-","Pluxee",""
"Despesa de ajuste","11.37","0.00","01/03/2026 00:00","01/03/2026","01/03/2026","Nenhuma","0","0","Others","Ajustes","-","Pluxee",""
"Frutas Crema","169.83","0.00","01/03/2026 23:34","01/03/2026","01/03/2026","Nenhuma","0","0","Mercado","Outros","-","Pluxee",""
"Brait","15.46","0.00","25/02/2026 13:07","25/02/2026","25/02/2026","Nenhuma","0","0","Alimentação","Café Da Tarde","-","Pluxee",""
"Financiamento Fiesta  5/48","931.48","0.00","18/11/2025 20:19","25/02/2026","25/02/2026","Parcelada (mensal)","5","48","Carro","Financiamento","-","Nubank",""
"Empréstimo Janeiro  1/4","230.10","0.00","08/01/2026 07:00","23/02/2026","23/02/2026","Parcelada (mensal)","1","4","Outros","Outros","-","Nubank",""
"Internet","119.99","0.00","25/11/2024 18:18","21/02/2026","23/02/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"IPTU","55.64","0.00","10/06/2024 20:46","20/02/2026","-","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
"Estacionamento fogo nobre","5.00","0.00","18/02/2026 21:30","18/02/2026","18/02/2026","Nenhuma","0","0","Carro","Estacionamento","-","Nubank",""
"Tim","52.20","0.00","16/08/2024 18:24","16/02/2026","23/02/2026","Fixa mensal","0","0","Serviços","Internet","-","Nubank",""
"Estacionamento","2.00","0.00","14/02/2026 12:12","14/02/2026","14/02/2026","Nenhuma","0","0","Carro","Estacionamento","-","Nubank",""
"Seguro  5/12","274.48","0.00","18/09/2025 20:06","13/02/2026","07/02/2026","Parcelada (mensal)","5","12","Carro","Seguro","NuBank","Nubank",""
"Despesa de ajuste","1.00","0.00","08/02/2026 11:05","12/02/2026","09/02/2026","Nenhuma","0","0","Cartões de crédito","Ajustes","Mercado Pagos","Nubank",""
"Empréstimo Outubro  2/2","660.44","0.00","11/10/2025 18:27","12/02/2026","07/02/2026","Parcelada (mensal)","2","2","Outros","Outros","NuBank","Nubank",""
"Não sei  12/12","22.54","0.00","07/07/2025 13:32","12/02/2026","09/02/2026","Parcelada (mensal)","12","12","Outros","Outros","Mercado Pagos","Nubank",""
"Nível 6 ML","8.90","0.00","04/09/2023 21:46","12/02/2026","09/02/2026","Fixa mensal","0","0","Serviços","Assinaturas","Mercado Pagos","Nubank",""
"Whey","125.70","0.00","16/01/2026 18:59","12/02/2026","09/02/2026","Nenhuma","0","0","Saúde","Outros","Mercado Pagos","Nubank",""
"Tenis Isa Adidas  3/8","21.24","0.00","05/12/2025 18:25","12/02/2026","09/02/2026","Parcelada (mensal)","3","8","Vestuário","Tênis","Mercado Pagos","Nubank",""
"Tenis puma  11/11","22.27","0.00","13/03/2025 18:06","12/02/2026","09/02/2026","Parcelada (mensal)","11","11","Vestuário","Tênis","Mercado Pagos","Nubank",""
"Tênis Isa  3/3","40.12","0.00","11/11/2025 14:11","12/02/2026","09/02/2026","Parcelada (mensal)","3","3","Vestuário","Tênis","Mercado Pagos","Nubank",""
"Tênis Nike  3/8","33.74","0.00","05/12/2025 18:26","12/02/2026","09/02/2026","Parcelada (mensal)","3","8","Vestuário","Tênis","Mercado Pagos","Nubank",""
"Academia Isa","115.00","0.00","05/01/2026 21:01","11/02/2026","07/02/2026","Nenhuma","0","0","Saúde","Academia","NuBank","Nubank",""
"Cabelo","45.00","0.00","31/01/2026 14:28","11/02/2026","07/02/2026","Nenhuma","0","0","Beleza","Cabelo","NuBank","Nubank",""
"China in Box","34.90","0.00","23/01/2026 14:17","11/02/2026","07/02/2026","Nenhuma","0","0","Alimentação","Almoço","NuBank","Nubank",""
"Combustível","55.07","0.00","07/01/2026 19:06","11/02/2026","07/02/2026","Nenhuma","0","0","Carro","Combustível","NuBank","Nubank",""
"Combustível","70.00","0.00","27/01/2026 19:13","11/02/2026","07/02/2026","Nenhuma","0","0","Carro","Combustível","NuBank","Nubank",""
"Crema","79.40","0.00","20/01/2026 21:04","11/02/2026","07/02/2026","Nenhuma","0","0","Mercado","Outros","NuBank","Nubank",""
"Crema pt. 2","225.77","0.00","02/02/2026 22:09","11/02/2026","07/02/2026","Nenhuma","0","0","Mercado","Outros","NuBank","Nubank",""
"Di Madre Niver Ben","150.80","0.00","14/01/2026 21:57","11/02/2026","07/02/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Entrada Santanas Ranch  1/3","275.57","0.00","12/01/2026 21:53","11/02/2026","07/02/2026","Parcelada (mensal)","1","3","Viagem","Hospedagem","NuBank","Nubank",""
"Estorno de ajuste","-0.01","0.00","08/02/2026 11:05","11/02/2026","07/02/2026","Nenhuma","0","0","Cartões de crédito","Estornos","NuBank","Nubank",""
"Gasolina Aditivada","70.00","0.00","22/01/2026 18:20","11/02/2026","07/02/2026","Nenhuma","0","0","Carro","Combustível","NuBank","Nubank",""
"Mariliam","52.50","0.00","10/01/2026 22:20","11/02/2026","07/02/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Mercado","99.79","0.00","18/01/2026 16:48","11/02/2026","07/02/2026","Nenhuma","0","0","Mercado","Outros","NuBank","Nubank",""
"Pastel rei do suco","76.50","0.00","25/01/2026 00:01","11/02/2026","07/02/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Picanha do bob meu niver ","122.92","0.00","31/01/2026 14:28","11/02/2026","07/02/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Protetor solar + Pós Sol  2/3","56.32","0.00","25/12/2025 16:37","11/02/2026","07/02/2026","Parcelada (mensal)","2","3","Saúde","Outros","NuBank","Nubank",""
"Pão","10.85","0.00","29/01/2026 18:23","11/02/2026","07/02/2026","Nenhuma","0","0","Alimentação","Jantar","NuBank","Nubank",""
"Pão manhã","2.71","0.00","31/01/2026 14:30","11/02/2026","07/02/2026","Nenhuma","0","0","Alimentação","Café Da Manhã","NuBank","Nubank",""
"Remédio Isa","79.72","0.00","19/01/2026 19:10","11/02/2026","07/02/2026","Nenhuma","0","0","Saúde","Remédios","NuBank","Nubank",""
"Sorvete","22.00","0.00","04/01/2026 16:57","11/02/2026","07/02/2026","Nenhuma","0","0","Alimentação","Sobremesa","NuBank","Nubank",""
"Sorvete MC","11.00","0.00","18/01/2026 16:48","11/02/2026","07/02/2026","Nenhuma","0","0","Alimentação","Sobremesa","NuBank","Nubank",""
"Uber Isa","7.14","0.00","19/01/2026 14:17","11/02/2026","07/02/2026","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Uber Isa","13.26","0.00","08/01/2026 12:15","11/02/2026","07/02/2026","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Uber isa","6.59","0.00","02/02/2026 22:10","11/02/2026","07/02/2026","Nenhuma","0","0","Transporte","Uber","NuBank","Nubank",""
"Unha Isa","70.00","0.00","11/02/2026 17:38","11/02/2026","11/02/2026","Nenhuma","0","0","Beleza","Unha","-","Nubank",""
"Presente João + Roupas minhas  3/3","26.63","0.00","28/11/2025 12:21","11/02/2026","07/02/2026","Parcelada (mensal)","3","3","Presente","Outros","NuBank","Nubank",""
"Presente João + Roupas minhas  3/3","61.69","0.00","28/11/2025 12:21","11/02/2026","07/02/2026","Parcelada (mensal)","3","3","Vestuário","Blusas","NuBank","Nubank",""
"Almoço Isa","39.50","0.00","13/01/2026 17:12","10/02/2026","07/02/2026","Nenhuma","0","0","Alimentação","Almoço","Santander","Nubank",""
"Almoço Isa","20.79","0.00","23/01/2026 16:35","10/02/2026","07/02/2026","Nenhuma","0","0","Alimentação","Almoço","Santander","Nubank",""
"Almoço Isa ","25.09","0.00","10/01/2026 18:47","10/02/2026","07/02/2026","Nenhuma","0","0","Alimentação","Jantar","Santander","Nubank",""
"Anuidade","50.00","0.00","07/02/2026 18:53","10/02/2026","07/02/2026","Nenhuma","0","0","Imposto","Outros","Santander","Nubank",""
"App Finanças","13.90","0.00","02/09/2025 22:12","10/02/2026","07/02/2026","Fixa mensal","0","0","Serviços","Assinaturas","Santander","Nubank",""
"Cabelo Isa  1/2","75.00","0.00","10/01/2026 17:34","10/02/2026","07/02/2026","Parcelada (mensal)","1","2","Beleza","Cabelo","Santander","Nubank",""
"Combustível","63.20","0.00","03/01/2026 12:30","10/02/2026","07/02/2026","Nenhuma","0","0","Carro","Combustível","Santander","Nubank",""
"Condomínio","334.56","0.00","10/06/2024 20:42","10/02/2026","20/02/2026","Fixa mensal","0","0","Moradia","Fixas","-","Nubank",""
